player.name,player.slug,player.shortName,player.position,player.id,playerCoordinates.x,playerCoordinates.y,isHome,shotType,situation,bodyPart,goalMouthLocation,xg,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,goalMouthCoordinates.y,goalMouthCoordinates.z,blockCoordinates.x,blockCoordinates.y,blockCoordinates.z,draw.start.x,draw.start.y,draw.block.x,draw.block.y,draw.end.x,draw.end.y,draw.goal.x,draw.goal.y,xgot,goalType
Ivan Schranz,ivan-schranz,I. Schranz,F,123179,97.1,66.0,False,goal,regular,right-foot,low-right,0.043639242649078,7,,365,39,2335,47.8,3.8,,,,34.0,2.9,,,52.2,0,52.2,96.2,0.6381,regular
Wout Weghorst,wout-weghorst,W. Weghorst,F,252215,92.1,53.4,False,goal,regular,left-foot,low-left,0.13051977753639,83,,4961,8,439,53.4,3.2,,,,46.6,7.9,,,46.6,0,46.6,96.8,0.8491,regular
Cody Gakpo,cody-gakpo,C. Gakpo,F,862967,78.4,56.0,False,goal,assisted,right-foot,low-centre,0.047642592340708,29,,1729,17,971,49.8,9.5,,,,44.0,21.6,,,50.2,0,50.2,90.5,0.0154,regular
Adam Buksa,adam-buksa,A. Buksa,F,1138856,93.9,54.0,True,goal,corner,head,low-centre,0.12401009351015,16,,949,30,1751,49.2,11.4,,,,46.0,6.1,,,50.8,0,50.8,88.6,0.0359,regular
Ruben Vargas,ruben-vargas,R. Vargas,M,872919,84.8,69.8,True,goal,assisted,right-foot,high-right,0.031711459159851,46,,2727,45,2673,47.6,28.5,,,,30.2,15.2,,,52.4,0,52.4,71.5,0.2867,regular
Remo Freuler,remo-freuler,R. Freuler,M,115516,91.4,55.7,True,goal,assisted,left-foot,low-left,0.20096455514431,37,,2180,9,520,53.9,3.2,,,,44.3,8.6,,,46.1,0,46.1,96.8,0.8643,regular
Georges Mikautadze,mikautadze-georges,G. Mikautadze,F,1009372,88.5,50.0,True,goal,penalty,right-foot,low-right,0.7884,57,,3373,34,2027,45.7,3.2,,,,50.0,11.5,,,54.3,0,54.3,96.8,0.9957,penalty
Khvicha Kvaratskhelia,khvicha-kvaratskhelia,K. Kvaratskhelia,F,889259,92.0,63.0,True,goal,assisted,left-foot,low-right,0.26515370607376,2,,92,44,2608,47.7,5.7,,,,37.0,8.0,,,52.3,0,52.3,94.3,0.606,regular
Cenk Tosun,cenk-tosun,C. Tosun,F,72127,86.3,55.7,False,goal,fast-break,right-foot,low-right,0.2168260961771,90,4.0,5625,1,675,46.3,11.4,,,,44.3,13.7,,,53.7,0,53.7,88.6,0.3544,regular
Tomáš Souček,tomas-soucek,T. Souček,M,799041,94.8,47.2,True,goal,throw-in-set-piece,right-foot,high-centre,0.43611285090446,66,,3925,25,1475,48.2,21.5,,,,52.8,5.2,,,51.8,0,51.8,78.5,0.8474,regular
