shot_id,player.name,player.slug,player.shortName,player.position,player.jerseyNumber,player.userCount,player.id,player.fieldTranslations.nameTranslation.ar,player.fieldTranslations.shortNameTranslation.ar,playerCoordinates.x,playerCoordinates.y,playerCoordinates.z,player.firstName,player.lastName,isHome,shotType,situation,bodyPart,goalMouthLocation,xg,id,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,goalMouthCoordinates.x,goalMouthCoordinates.y,goalMouthCoordinates.z,blockCoordinates.x,blockCoordinates.y,blockCoordinates.z,draw.start.x,draw.start.y,draw.block.x,draw.block.y,draw.end.x,draw.end.y,draw.goal.x,draw.goal.y,xgot,goalType,shootoutOrder
0,Kevin De Bruyne,kevin-de-bruyne,K. De Bruyne,M,17,251026,70996,"دي بروين, كيفين",ك. د. بروين,9.1,65.4,0,,,True,miss,assisted,right-foot,left,0.049184679985046,3358405,90,3.0,5566,1,734,shot,0,67.4,6.9,8.0,59.2,0.0,65.4,9.1,59.2,8.0,32.6,0,32.6,93.1,,,
1,Johan Bakayoko,johan-bakayoko,J. Bakayoko,F,11,5555,1088896,جون باكايوكو,ج. باكايوكو,19.5,59.3,0,Johan Bakayoko,,True,miss,corner,left-foot,high-left,0.040552221238613,3358403,90,1.0,5443,1,857,shot,0,71.6,40.3,,,,59.3,19.5,,,28.4,0,28.4,59.7,,,
2,Amadou Onana,amadou-onana,A. Onana,M,8,4774,923973,أونانا ، أمادو مفوم,أ. ، أ. مفوم,11.4,43.0,0,,,True,miss,corner,head,right,0.016460694372654,3358398,80,,4794,11,606,shot,0,38.7,11.1,,,,43.0,11.4,,,61.3,0,61.3,88.9,,,
3,Yannick Carrasco,yannick-carrasco,Y. Carrasco,M,23,7199,182001,يانيك كاراسكو,ي. كاراسكو,20.1,44.8,0,,,True,block,assisted,right-foot,low-left,0.05792661011219,3358395,80,,4758,11,642,shot,0,51.9,18.1,17.1,45.5,0.0,44.8,20.1,45.5,17.1,48.1,0,48.1,81.9,,,
4,Juraj Kucka,juraj-kucka,J. Kucka,M,33,762,48563,كوك يوراي,ك. يوراي,23.1,63.2,0,,,False,miss,assisted,left-foot,left,0.040486186742783,3358393,78,,4672,13,728,shot,0,73.3,8.3,,,,63.2,23.1,,,26.7,0,26.7,91.7,,,
5,David Strelec,david-strelec,D. Strelec,F,13,504,918482,,,8.0,59.3,0,,,False,block,assisted,right-foot,low-right,0.076780751347542,3358392,76,,4558,15,842,shot,0,47.8,19.0,7.1,58.5,0.0,59.3,8.0,58.5,7.1,52.2,0,52.2,81.0,,,
6,Kevin De Bruyne,kevin-de-bruyne,K. De Bruyne,M,17,251026,70996,"دي بروين, كيفين",ك. د. بروين,19.6,65.5,0,,,True,block,assisted,right-foot,low-centre,0.042756162583828,3358357,67,,3977,24,1423,shot,0,49.5,19.0,14.0,61.2,0.0,65.5,19.6,61.2,14.0,50.5,0,50.5,81.0,,,
7,Johan Bakayoko,johan-bakayoko,J. Bakayoko,F,11,5555,1088896,جون باكايوكو,ج. باكايوكو,8.7,51.0,0,Johan Bakayoko,,True,save,regular,left-foot,low-centre,0.43847742676735,3358353,62,,3708,29,1692,shot,0,48.9,6.9,0.90000000000001,51.1,0.0,51.0,8.7,51.1,0.90000000000001,51.1,0,51.1,93.1,,,
8,Romelu Lukaku,romelu-lukaku,R. Lukaku,F,90,68246,78893,روميلو لوكاكو,ر. لوكاكو,4.5,61.5,0,,,True,miss,regular,right-foot,close-right,0.13304196298122,3358285,61,,3658,30,1742,shot,0,43.4,12.5,,,,61.5,4.5,,,56.6,0,56.6,87.5,,,
9,Yannick Carrasco,yannick-carrasco,Y. Carrasco,M,23,7199,182001,يانيك كاراسكو,ي. كاراسكو,9.8,47.3,0,,,True,block,corner,left-foot,low-centre,0.054419938474894,3358351,61,,3634,30,1766,shot,0,49.4,6.9,6.4,47.7,0.0,47.3,9.8,47.7,6.4,50.6,0,50.6,93.1,,,
10,Leandro Trossard,leandro-trossard,L. Trossard,F,19,21220,135666,"تروسارد, لياندرو",ل. تروسارد,21.2,57.7,0,,,True,save,assisted,right-foot,low-right,0.048302762210369,3358247,59,,3500,32,1900,shot,0,47.2,7.6,1.4,51.1,0.0,57.7,21.2,51.1,1.4,52.8,0,52.8,92.4,0.1168,,
11,Romelu Lukaku,romelu-lukaku,R. Lukaku,F,90,68246,78893,روميلو لوكاكو,ر. لوكاكو,9.4,69.1,0,,,True,save,assisted,right-foot,low-right,0.061577260494232,3358244,55,,3295,36,2105,shot,0,46.2,19.0,0.0,53.4,0.0,69.1,9.4,53.4,0.0,53.8,0,53.8,81.0,0.1802,,
12,Denis Vavro,denis-vavro,D. Vavro,D,3,495,293127,دينيس فافرو,د. فافرو,31.9,49.9,0,,,False,miss,assisted,right-foot,close-left,0.016417108476162,3358242,52,,3084,39,2316,shot,0,58.5,1.4,,,,49.9,31.9,,,41.5,0,41.5,98.6,,,
13,Lukáš Haraslín,lukas-haraslin,L. Haraslín,F,22,840,325121,لوكاس هاراسلين,ل. هاراسلين,19.3,31.1,0,,,False,miss,assisted,right-foot,right,0.025733292102814,3358098,47,,2801,44,2599,shot,0,37.5,38.9,,,,31.1,19.3,,,62.5,0,62.5,61.1,,,
14,Juraj Kucka,juraj-kucka,J. Kucka,M,33,762,48563,كوك يوراي,ك. يوراي,3.5,61.1,0,,,False,miss,corner,head,high-right,0.041428223252296,3357862,45,3.0,2842,1,2558,shot,0,39.7,68.1,,,,61.1,3.5,,,60.3,0,60.3,31.9,,,
15,Lukáš Haraslín,lukas-haraslin,L. Haraslín,F,22,840,325121,لوكاس هاراسلين,ل. هاراسلين,15.1,47.3,0,,,False,save,assisted,right-foot,high-right,0.094664536416531,3357857,40,,2358,6,342,shot,0,45.8,25.9,2.0,49.5,0.0,47.3,15.1,49.5,2.0,54.2,0,54.2,74.1,0.5514,,
16,Amadou Onana,amadou-onana,A. Onana,M,8,4774,923973,أونانا ، أمادو مفوم,أ. ، أ. مفوم,9.4,52.3,0,,,True,save,corner,head,low-centre,0.072062738239765,3357853,36,,2115,10,585,shot,0,50.0,19.6,1.0,50.0,0.0,52.3,9.4,50.0,1.0,50.0,0,50.0,80.4,0.022,,
17,Leandro Trossard,leandro-trossard,L. Trossard,F,19,21220,135666,"تروسارد, لياندرو",ل. تروسارد,20.4,38.9,0,,,True,block,regular,right-foot,low-centre,0.046590305864811,3357852,32,,1917,14,783,shot,0,49.9,19.0,15.0,41.9,0.0,38.9,20.4,41.9,15.0,50.1,0,50.1,81.0,,,
