player.name,player.slug,player.shortName,player.position,player.id,playerCoordinates.x,playerCoordinates.y,isHome,shotType,situation,bodyPart,goalMouthLocation,xg,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,goalMouthCoordinates.y,goalMouthCoordinates.z,blockCoordinates.x,blockCoordinates.y,blockCoordinates.z,draw.start.x,draw.start.y,draw.block.x,draw.block.y,draw.end.x,draw.end.y,draw.goal.x,draw.goal.y,xgot,goalType
Kevin De Bruyne,kevin-de-bruyne,K. De Bruyne,M,70996,90.9,34.599999999999994,True,miss,assisted,right-foot,left,0.049184679985046,90,3.0,5566,1,734,67.4,6.9,8.0,59.2,0.0,65.4,9.1,59.2,8.0,32.6,0,32.6,93.1,,
Johan Bakayoko,johan-bakayoko,J. Bakayoko,F,1088896,80.5,40.7,True,miss,corner,left-foot,high-left,0.040552221238613,90,1.0,5443,1,857,71.6,40.3,,,,59.3,19.5,,,28.4,0,28.4,59.7,,
Amadou Onana,amadou-onana,A. Onana,M,923973,88.6,57.0,True,miss,corner,head,right,0.016460694372654,80,,4794,11,606,38.7,11.1,,,,43.0,11.4,,,61.3,0,61.3,88.9,,
Yannick Carrasco,yannick-carrasco,Y. Carrasco,M,182001,79.9,55.2,True,block,assisted,right-foot,low-left,0.05792661011219,80,,4758,11,642,51.9,18.1,17.1,45.5,0.0,44.8,20.1,45.5,17.1,48.1,0,48.1,81.9,,
Juraj Kucka,juraj-kucka,J. Kucka,M,48563,76.9,36.8,False,miss,assisted,left-foot,left,0.040486186742783,78,,4672,13,728,73.3,8.3,,,,63.2,23.1,,,26.7,0,26.7,91.7,,
David Strelec,david-strelec,D. Strelec,F,918482,92.0,40.7,False,block,assisted,right-foot,low-right,0.076780751347542,76,,4558,15,842,47.8,19.0,7.1,58.5,0.0,59.3,8.0,58.5,7.1,52.2,0,52.2,81.0,,
Kevin De Bruyne,kevin-de-bruyne,K. De Bruyne,M,70996,80.4,34.5,True,block,assisted,right-foot,low-centre,0.042756162583828,67,,3977,24,1423,49.5,19.0,14.0,61.2,0.0,65.5,19.6,61.2,14.0,50.5,0,50.5,81.0,,
Johan Bakayoko,johan-bakayoko,J. Bakayoko,F,1088896,91.3,49.0,True,save,regular,left-foot,low-centre,0.43847742676735,62,,3708,29,1692,48.9,6.9,0.90000000000001,51.1,0.0,51.0,8.7,51.1,0.90000000000001,51.1,0,51.1,93.1,,
Romelu Lukaku,romelu-lukaku,R. Lukaku,F,78893,95.5,38.5,True,miss,regular,right-foot,close-right,0.13304196298122,61,,3658,30,1742,43.4,12.5,,,,61.5,4.5,,,56.6,0,56.6,87.5,,
Yannick Carrasco,yannick-carrasco,Y. Carrasco,M,182001,90.2,52.7,True,block,corner,left-foot,low-centre,0.054419938474894,61,,3634,30,1766,49.4,6.9,6.4,47.7,0.0,47.3,9.8,47.7,6.4,50.6,0,50.6,93.1,,
Leandro Trossard,leandro-trossard,L. Trossard,F,135666,78.8,42.3,True,save,assisted,right-foot,low-right,0.048302762210369,59,,3500,32,1900,47.2,7.6,1.4,51.1,0.0,57.7,21.2,51.1,1.4,52.8,0,52.8,92.4,0.1168,
Romelu Lukaku,romelu-lukaku,R. Lukaku,F,78893,90.6,30.900000000000006,True,save,assisted,right-foot,low-right,0.061577260494232,55,,3295,36,2105,46.2,19.0,0.0,53.4,0.0,69.1,9.4,53.4,0.0,53.8,0,53.8,81.0,0.1802,
Denis Vavro,denis-vavro,D. Vavro,D,293127,68.1,50.1,False,miss,assisted,right-foot,close-left,0.016417108476162,52,,3084,39,2316,58.5,1.4,,,,49.9,31.9,,,41.5,0,41.5,98.6,,
Lukáš Haraslín,lukas-haraslin,L. Haraslín,F,325121,80.7,68.9,False,miss,assisted,right-foot,right,0.025733292102814,47,,2801,44,2599,37.5,38.9,,,,31.1,19.3,,,62.5,0,62.5,61.1,,
Juraj Kucka,juraj-kucka,J. Kucka,M,48563,96.5,38.9,False,miss,corner,head,high-right,0.041428223252296,45,3.0,2842,1,2558,39.7,68.1,,,,61.1,3.5,,,60.3,0,60.3,31.9,,
Lukáš Haraslín,lukas-haraslin,L. Haraslín,F,325121,84.9,52.7,False,save,assisted,right-foot,high-right,0.094664536416531,40,,2358,6,342,45.8,25.9,2.0,49.5,0.0,47.3,15.1,49.5,2.0,54.2,0,54.2,74.1,0.5514,
Amadou Onana,amadou-onana,A. Onana,M,923973,90.6,47.7,True,save,corner,head,low-centre,0.072062738239765,36,,2115,10,585,50.0,19.6,1.0,50.0,0.0,52.3,9.4,50.0,1.0,50.0,0,50.0,80.4,0.022,
Leandro Trossard,leandro-trossard,L. Trossard,F,135666,79.6,61.1,True,block,regular,right-foot,low-centre,0.046590305864811,32,,1917,14,783,49.9,19.0,15.0,41.9,0.0,38.9,20.4,41.9,15.0,50.1,0,50.1,81.0,,
Róbert Boženík,robert-bozenik,R. Boženík,F,912033,80.8,50.0,False,save,assisted,right-foot,low-centre,0.067364364862442,31,,1836,15,864,49.3,1.3,2.0,49.6,0.0,50.0,19.2,49.6,2.0,50.7,0,50.7,98.7,0.0427,
