player.name,player.slug,player.shortName,player.position,player.id,playerCoordinates.x,playerCoordinates.y,isHome,shotType,situation,bodyPart,goalMouthLocation,xg,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,goalMouthCoordinates.y,goalMouthCoordinates.z,blockCoordinates.x,blockCoordinates.y,blockCoordinates.z,draw.start.x,draw.start.y,draw.block.x,draw.block.y,draw.end.x,draw.end.y,draw.goal.x,draw.goal.y,xgot,goalType,total_time,time_interval,is_goal,mean_xG_xGOT,diff_xG_xGOT
Leandro Trossard,leandro-trossard,L. Trossard,F,135666,21.2,42.3,True,save,assisted,right-foot,low-right,0.048302762210369,59,0.0,3500,32,1900,47.2,7.6,1.4,51.1,0.0,57.7,21.2,51.1,1.4,52.8,0,52.8,92.4,0.1168,,59.0,45-59 mins,0,0.08255138110518451,-0.068497237789631
Romelu Lukaku,romelu-lukaku,R. Lukaku,F,78893,9.4,30.900000000000006,True,save,assisted,right-foot,low-right,0.061577260494232,55,0.0,3295,36,2105,46.2,19.0,0.0,53.4,0.0,69.1,9.4,53.4,0.0,53.8,0,53.8,81.0,0.1802,,55.0,45-59 mins,0,0.12088863024711599,-0.118622739505768
Lukáš Haraslín,lukas-haraslin,L. Haraslín,F,325121,15.1,52.7,False,save,assisted,right-foot,high-right,0.094664536416531,40,0.0,2358,6,342,45.8,25.9,2.0,49.5,0.0,47.3,15.1,49.5,2.0,54.2,0,54.2,74.1,0.5514,,40.0,30-44 mins,0,0.32303226820826547,-0.456735463583469
Amadou Onana,amadou-onana,A. Onana,M,923973,9.4,47.7,True,save,corner,head,low-centre,0.072062738239765,36,0.0,2115,10,585,50.0,19.6,1.0,50.0,0.0,52.3,9.4,50.0,1.0,50.0,0,50.0,80.4,0.022,,36.0,30-44 mins,0,0.047031369119882496,0.050062738239765
Róbert Boženík,robert-bozenik,R. Boženík,F,912033,19.2,50.0,False,save,assisted,right-foot,low-centre,0.067364364862442,31,0.0,1836,15,864,49.3,1.3,2.0,49.6,0.0,50.0,19.2,49.6,2.0,50.7,0,50.7,98.7,0.0427,,31.0,30-44 mins,0,0.055032182431221,0.024664364862442
Ivan Schranz,ivan-schranz,I. Schranz,F,123179,2.9,66.0,False,goal,regular,right-foot,low-right,0.043639242649078,7,0.0,365,39,2335,47.8,3.8,,,,34.0,2.9,,,52.2,0,52.2,96.2,0.6381,regular,7.0,0-14 mins,1,0.340869621324539,-0.594460757350922
Juraj Kucka,juraj-kucka,J. Kucka,M,48563,12.5,55.8,False,save,assisted,right-foot,low-left,0.13691549003124,7,0.0,363,39,2337,52.5,18.4,1.6,48.4,0.0,44.2,12.5,48.4,1.6,47.5,0,47.5,81.6,0.1423,,7.0,0-14 mins,0,0.13960774501562,-0.005384509968759998
Romelu Lukaku,romelu-lukaku,R. Lukaku,F,78893,6.0,52.3,True,save,assisted,right-foot,low-centre,0.41153791546822,3,0.0,133,43,2567,51.5,17.1,2.3,48.6,0.0,47.7,6.0,48.6,2.3,48.5,0,48.5,82.9,0.7038,,3.0,0-14 mins,0,0.55766895773411,-0.29226208453178
Nicola Zalewski,nicola-zalewski,N. Zalewski,M,984184,26.3,65.6,True,save,assisted,right-foot,high-left,0.018668623641133,90,5.0,5686,1,614,52.4,32.3,2.4,50.2,0.0,34.4,26.3,50.2,2.4,47.6,0,47.6,67.7,0.2002,,95.0,90+ mins,0,0.1094343118205665,-0.18153137635886699
Jakub Moder,jakub-moder,J. Moder,M,886242,28.4,42.1,True,save,assisted,left-foot,low-right,0.021185558289289,90,2.0,5506,1,794,47.1,3.2,1.2,50.7,0.0,57.9,28.4,50.7,1.2,52.9,0,52.9,96.8,0.1539,,92.0,90+ mins,0,0.0875427791446445,-0.132714441710711
